"Area_Id","Area_erpid","Area_Name","Status","Distributor_Id","Distributor_Name","Distributor_Erp_ID","Distributor_Status","Zone_ID","Zone","Subzone","Count_of_Outlets"
"1","QP","Qunova Technologies - Pune","Active","1","Qunova Technologies Private Limited","Q-1","active","1","WEST","Maharastra","17"
"2","","Test area","Active","12","test dist child","0","active","3","Test","Test- subzone","8"
"3","","Qunova Kharadi Warehouse - Pune","Active","1","Qunova Technologies Private Limited","Q-1","active","1","WEST","Maharastra","1181"
"4","","Sonigra Kasturi Chowk Warehouse - Pune","Active","19","Sonigra","0","Inactive","1","WEST","Maharastra",""
"5","","Dhyaani Landmark Warehouse, Pune","Active","20","Dhyaani Pharma Pvt. Ltd","0","active","1","WEST","Maharastra",""
"6","","SVS Beauty_Area","Active","22","SVS Beauty","0","active","1","WEST","Maharastra",""
"7","","Blue Eye Beverages_Area","Active","31","Blue Eye Beverages","0","active","1","WEST","Maharastra",""
"8","","Vasant Agencies_Area","Active","23","Vasant Agencies","0","active","1","WEST","Maharastra",""
"9","","New Ambaji Treading Co.Nashik_Area","Active","65","New Ambaji Treading Co.Nashik","0","active","1","WEST","Maharastra",""
"10","","Test - Distributor_Area","Active","11","Test - Distributor","0","active","3","Test","Test- subzone","2"
"11","","test dist child_Area","Active","12","test dist child","0","active","3","Test","Test- subzone",""
"12","","Sonigra_Area","Active","19","Sonigra","0","Inactive","1","WEST","Maharastra",""
"13","","Dhyaani Pharma Pvt. Ltd_Area","Active","20","Dhyaani Pharma Pvt. Ltd","0","active","1","WEST","Maharastra",""
"14","","Amrapali_Area","Active","24","Amrapali","0","active","1","WEST","Maharastra",""
"15","","Akshay_Area","Active","25","Akshay","0","active","1","WEST","Maharastra",""
"16","","Tushar Traders_Area","Active","26","Tushar Traders","0","active","1","WEST","Maharastra",""
"17","","Par Excellence_Area","Active","27","Par Excellence","0","active","1","WEST","Maharastra",""
"18","","The Blue Micky_Area","Active","28","The Blue Micky","0","active","1","WEST","Maharastra",""
"19","","Evergreen Gen_Area","Active","29","Evergreen Gen","0","active","1","WEST","Maharastra",""
