"Sku_id","Sku_code","Sku_name","HSN_code","Mrp","Price","GST%","UnitCase","Units_Per_Case","Standard_Case","Category_id","Category_name","Subcategory_id","Subcategory_name","MHS","Variant_id","variant_name","Brand_id","Brand","SubBrand_id","SubBrand","Size_id","Size","unit_id","Unit","Status","Company/Sale_Org","Distributor_Channel","Division","Barcode","Focus_SKu","SKU_Order_Sequence","Description","Sku_Created","Sku_modified","SKU IMAGE","Production_Plant","SubPack_id","Subpack_Name","For_Device","Abbrivation","Packaging_id","SKU_Created_by","Category_Erpid","SubCategory_Erpid","Brand_Erpid","Subbrand_Erpid","Packaging_Erp_id","SKU_ERP_ID"
"1","PAT_ANR_GOL_100_GM","Anardana goli 100 GM","30049011","45.00","38.00","12.00","1.0000000000","100","1","1","Healthcare","11","Medicine","CAR","0","","11","Patanjali","0","","39","100","1","gm","Active","0","","","","No","0","Anardana goli 100 GM","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","H1","","","","",""
"2","PAT_BDM_PAK_250_GM","Badam Pak 250 GM","30049011","145.00","121.00","12.00","1.0000000000","24","1","1","Healthcare","6","Badam Pak","CAR","0","","11","Patanjali","0","","2","250","1","gm","Active","0","","","","No","0","Badam Pak 250 GM","2023-12-17 23:15:16","2025-01-10 13:03:50","","","0","","1","","1","","H1","","","","",""
"3","PAT_BM_10_GM","Balm 10 GM","30049011","30.00","25.00","12.00","1.0000000000","240","1","1","Healthcare","11","Medicine","CAR","0","","11","Patanjali","0","","3","10","1","gm","Active","0","","","","No","0","Balm 10 GM","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","H1","","","","",""
"4","PAT_CAN_AML_250_GM","Amla Candy 250 GM","8112010","90.00","75.00","5.00","1.0000000000","24","1","1","Healthcare","12","Murrabba and Candy","CAR","0","","11","Patanjali","0","","2","250","1","gm","Active","0","","","","No","0","Amala Candy 250 GM","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","H1","","","","",""
"5","PAT_CAN_AML_500_GM","Amla Candy 500 GM","08112010","175.00","146.00","5.00","1.0000000000","24","1","3","Home Care","21","Digestives.","CAR","0","","11","Patanjali","0","","4","500","1","gm","Active","0","","","","No","0","Amla Candy 500 GM","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","","","","","",""
"6","PAT_CAN_AML_CHT_250_GM","Amla Chatpata Candy 250 GM","08112010","95.00","79.00","5.00","1.0000000000","24","1","1","Healthcare","12","Murrabba and Candy","CAR","0","","11","Patanjali","0","","2","250","1","gm","Active","0","","","","No","0","Amla Chatpata Candy 250 GM","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","H1","","","","",""
"7","PAT_CHU_AML_100_GM","Divya Amla Churna","30049011","35.00","29.00","5.00","1.0000000000","100","1","1","Healthcare","14","Churna","CAR","0","","11","Patanjali","0","","39","100","1","gm","Active","0","","","","No","0","Divya Amla Churna","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","H1","","","","",""
"8","PAT_CHU_TRI_100_GM","Triphala Churna 100 GM","30049011","30.00","25.00","5.00","1.0000000000","100","1","1","Healthcare","14","Churna","CAR","0","","11","Patanjali","0","","39","100","1","gm","Active","0","","","","No","0","Triphala Churna 100 GM","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","H1","","","","",""
"9","PAT_CHV_1_KG","Chyavanprash 1 KG","30049011","280.00","233.00","12.00","1.0000000000","12","1","1","Healthcare","7","Chyavanprash","CAR","0","","11","Patanjali","0","","5","1","2","kg","Active","0","","","","No","0","Chyavanprash 1 KG","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","H1","","","","",""
"10","PAT_CHV_JAG_750_GM","Chyavanprash Jaggery 750 GM","30049011","280.00","140.00","12.00","1.3333333333","12","1","1","Healthcare","7","Chyavanprash","CAR","0","","11","Patanjali","0","","61","700","1","gm","Active","0","","","","No","0","Chyavanprash Jaggery 750 GM","2023-12-17 23:15:16","2025-01-13 15:57:28","","","0","","1","","1","","H1","","","","",""
"11","PAT_CHV_SUG_FRE_750_GM","Chyawanprabha No Added Suger 750 GM","30049011","410.00","345.00","12.00","1.3333333333","12","1","3","Home Care","20","Chyavanprash.","CAR","0","","11","Patanjali","0","","0","","","","Active","0","","","","No","0","Chyawanprabha No Added Suger 750 GM","2023-12-17 23:15:16","2024-04-13 09:07:24","","","0","","1","","1","","","","","","",""
"12","PAT_COW_GHEE_1_LTR","Cows Ghee 1 LTR","4059020","665.00","639.00","12.00","1.0000000000","15","1","5","Dairy Products","2","Ghee","CAR","0","","11","Patanjali","0","","7","1","3","ltr","Active","0","","","","No","0","Cows Ghee 1 LTR","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","","","","","",""
"13","PAT_COW_GHEE_200_ML","Cows Ghee 200 ML","4059020","150.00","144.00","12.00","1.0000000000","60","1","5","Dairy Products","2","Ghee","CAR","0","","11","Patanjali","0","","8","200","4","ml","Active","0","","","","No","0","Cows Ghee 200 ML","2023-12-17 23:15:16","2024-03-15 11:20:51","","","0","","1","","1","","","","","","",""
