"Subcategory ID","Name","Subcategory ERP ID","Category","Category ERP ID","Subcategory Sequence","Company Name","Image","Active","Created","Modified"
"1","healthcare","","Healthcare","H1","0","Bizzplus","",1,"2023-12-15 17:35:30","2023-12-15 17:35:30"
"2","Ghee","","Dairy Products","","0","Bizzplus","",1,"2023-12-15 17:35:43","2023-12-20 17:29:02"
"3","Energy Drink","","Beverages","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"4","Non-alcoholic Beer","","Beverages","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"5","Health Drinks","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"6","Badam Pak","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"7","Chyavanprash","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"8","Digestives","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"9","Grass Powder","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"10","Honey","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"11","Medicine","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"12","Murrabba and Candy","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"13","Edible Oil","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"14","Churna","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"15","Ear and Eye Drop","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"16","Vati","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"17","Ghee","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"18","Toothpaste","","Healthcare","H1","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"19","Cleaning","","Home Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"20","Chyavanprash.","","Home Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"21","Digestives.","","Home Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"22","Body Wash","","Personal Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"23","Deo","","Personal Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"24","Shower Gel","","Personal Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"25","Shampoo","","Personal Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"26","Scrub","","Personal Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"27","Hair Spray","","Personal Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"28","Body Lotion","","Personal Care","","0","Bizzplus","",1,"2023-12-20 17:36:42","2023-12-20 17:36:42"
"29","Soap","","Personal Care","","0","Bizzplus","",1,"2023-12-20 19:24:23","2023-12-20 19:24:23"
"30","Tea","","Beverages","","0","Bizzplus","",1,"2024-02-06 11:11:14","2024-02-06 11:11:14"
"31","Hair Oil","","Personal Care","","0","Bizzplus","",1,"2024-02-23 11:59:01","2024-02-23 11:59:01"
"32","Face Serum","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:32:18","2024-02-23 12:32:18"
"33","Foaming Face Wash","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:32:18","2024-02-23 12:32:18"
"34","Face Cream","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:32:18","2024-02-23 12:32:18"
"35","Facial Kit","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:32:18","2024-02-23 12:32:18"
"36","Vitmin Capsules(Essential fats and amino acids)","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:32:18","2024-02-23 14:12:31"
"37","SPF Sunscreen Tube","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:32:18","2024-02-23 12:32:18"
"38","Kajal","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:32:18","2024-02-23 12:32:18"
"39","Skin Toner","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:32:18","2024-02-23 12:32:18"
"40","ACV Drink","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:44:42","2024-02-23 13:09:16"
"41","Cold Cream","","Personal Care","","0","Bizzplus","",1,"2024-02-23 12:44:42","2024-02-23 12:44:42"
"42","EDP (Perfume)","","Personal Care","","0","Bizzplus","",1,"2024-02-23 13:10:27","2024-02-23 13:12:22"
"43","Conditioners ","","Personal Care","","0","Bizzplus","",1,"2024-02-23 14:19:32","2024-02-23 14:19:32"
"44","SOAP","","Home Care","","0","Bizzplus","",1,"2024-05-01 15:53:07","2024-05-01 15:53:07"
"45","Personal care","","Personal Care","","0","Bizzplus","",1,"2024-05-14 12:56:10","2024-05-14 12:56:10"
"46","Feeding Bottles","","Baby Care_Bornfree","","0","Bizzplus","",1,"2024-05-21 12:56:05","2024-05-21 12:56:05"
"47","Soothers","","Baby Care_Bornfree","","0","Bizzplus","",1,"2024-05-21 13:01:07","2024-05-21 13:01:07"
"48","Nipple","","Baby Care_Bornfree","","0","Bizzplus","",1,"2024-05-21 13:02:10","2024-05-21 13:02:10"
"49","Sipper and Tumblers","","Baby Care_Bornfree","","0","Bizzplus","",1,"2024-05-21 13:05:01","2024-05-21 13:05:01"
"50","Baby Accessories","","Baby Care_Bornfree","","0","Bizzplus","",1,"2024-05-21 13:05:10","2024-05-21 13:15:12"
"51","Feeders","","Baby Care_Bornfree","","0","Bizzplus","",1,"2024-05-21 13:07:02","2024-05-21 13:07:02"
"52","Adult Diaper","","Healthcare","H1","0","Bizzplus","",1,"2024-06-17 15:11:22","2024-06-17 15:11:22"
"53","Glucose Powder","","Healthcare","H1","0","Bizzplus","",1,"2024-07-08 13:18:57","2024-07-08 13:18:57"
"54","Bakery Products","","Beverages","","0","Bizzplus","",1,"2024-07-15 16:50:27","2024-07-15 17:36:30"
"55","Choco Cookies","","Cookies","","0","Bizzplus","",1,"2024-07-15 18:08:41","2024-07-15 18:08:41"
"56","Digestive Cookies","","Cookies","","0","Bizzplus","",1,"2024-07-15 18:08:41","2024-07-15 18:08:41"
